id,subject,email_text,language
1,TÝŽDEŇ ČAKÁM!!!,UŽ TÝŽDEŇ ČAKÁM NA OBJEDNÁVKU 68247! ČO SA DEJE???,sk
2,Gluténová diéta,"Prosím vás, ktoré z vašich proteínov sú bezgluténové? Mám celiakiu.",sk
3,Gainér a vitamíny,"Ahojte, minulý týždeň som objednal gainér a vitamíny, objednávka 53471, a stále nič. Help!",sk
4,Duplicitná objednávka,"Ahoj, vytvoril som 2 objednávky omylom, 66481 a 66482. Môžete zrušiť jednu z nich?",sk
5,Zmena mena príjemcu,"Ahoj, obj 52936, dá sa zmeniť meno príjemcu? Je to darček.",sk
6,EAA vs BCAA,"Dobrý deň, čo je lepšie, EAA alebo BCAA? V čom je rozdiel?",sk
7,Ako vrátiť tovar?,Prosím vás ako môžem vrátiť tovar? Objednávka 71863. Potrebujem adresu kam to poslať.,sk
8,Máte pobočku v Bratislave?,"Prosím vás, plánujete otvoriť predajňu aj v Bratislave?",sk
9,Kde máte predajňu?,"Dobrý deň, kde máte kamennú predajňu? Môžem tam nakúpiť osobne?",sk
10,Pridať produkt do objednávky,"Ahoj, objednávka 67329, môžem ešte pridať jeden produkt?",sk
11,Vráti sa doprava?,"Dobrý deň, obj 86524 vrátenie. Vráti sa mi aj doprava čo som zaplatil?",sk
12,Zrušiť objednávku 45726,"Dobrý deň, potrebujem ZRUŠIŤ objednávku 45726. Ešte nebola odoslaná. Ide to?",sk
13,Chýba produkt,"Ahoj, v mojej objednávke 59643 chýba jeden produkt. Mal by som dostať 2 BCAA ale prišlo len jedno balenie. Prosím o riešenie.",sk
14,Kolagen na kĺby,"Dobrý večer, máte kolagén na kĺby? Pomôže to pri bolestiach kolien?",sk
15,Ako podať reklamáciu?,"Ahoj, ako mám postupovať pri reklamácii tovaru?",sk
16,Zlá príchut proteínu,"Prosím vás, objednal som si čokoládový proteín ale prišiel mi vanilkový, obj. 81234. Môžete to vymeniť?",sk
17,Doručujete do Česka?,"Ahoj, doručujete objednávky aj do Českej republiky?",sk
18,URGENTNÉ INFO,Objednávka č. 52648 potrebujem info urgentne!!!,sk
19,Omyl v objednávke,"Objednávka 55298, chcem zrušiť. Objednal som zlý produkt.",sk
