id,subject,email_text,final_category,route,proto_score,order_id,order_ids_all,urls,emails,spam_score,spam_signals,spam_flag_final,low_confidence
1,TÝŽDEŇ ČAKÁM!!!,UŽ TÝŽDEŇ ČAKÁM NA OBJEDNÁVKU 68247! ČO SA DEJE???,Order Status,human,0.84528965,68247,68247,,,2,"lots_of_caps,many_exclamations",False,True
2,Gluténová diéta,"Prosím vás, ktoré z vašich proteínov sú bezgluténové? Mám celiakiu.",Product Question,human,0.86479956,,,,,0,,False,True
3,Gainér a vitamíny,"Ahojte, minulý týždeň som objednal gainér a vitamíny, objednávka 53471, a stále nič. Help!",Order Status,bot,0.88169694,53471,53471,,,0,,False,False
4,Duplicitná objednávka,"Ahoj, vytvoril som 2 objednávky omylom, 66481 a 66482. Môžete zrušiť jednu z nich?",Order Cancel,bot,0.87030345,66481,"66481,66482",,,0,,False,False
5,Zmena mena príjemcu,"Ahoj, obj 52936, dá sa zmeniť meno príjemcu? Je to darček.",Order Modify,human,0.8454054,52936,52936,,,0,,False,False
6,EAA vs BCAA,"Dobrý deň, čo je lepšie, EAA alebo BCAA? V čom je rozdiel?",Product Question,bot,0.9039336,,,,,1,lots_of_caps,False,False
7,Ako vrátiť tovar?,Prosím vás ako môžem vrátiť tovar? Objednávka 71863. Potrebujem adresu kam to poslať.,Return / Complaint,human,0.8671591,71863,71863,,,0,,False,False
8,Máte pobočku v Bratislave?,"Prosím vás, plánujete otvoriť predajňu aj v Bratislave?",Store / Delivery / Availability,human,0.84375274,,,,,0,,False,True
9,Kde máte predajňu?,"Dobrý deň, kde máte kamennú predajňu? Môžem tam nakúpiť osobne?",Store / Delivery / Availability,bot,0.8746701,,,,,0,,False,False
10,Pridať produkt do objednávky,"Ahoj, objednávka 67329, môžem ešte pridať jeden produkt?",Order Modify,human,0.86017704,67329,67329,,,0,,False,False
11,Vráti sa doprava?,"Dobrý deň, obj 86524 vrátenie. Vráti sa mi aj doprava čo som zaplatil?",Order Status,human,0.84845287,86524,86524,,,0,,False,True
12,Zrušiť objednávku 45726,"Dobrý deň, potrebujem ZRUŠIŤ objednávku 45726. Ešte nebola odoslaná. Ide to?",Order Status,bot,0.859758,45726,"45726,45726",,,0,,False,False
13,Chýba produkt,"Ahoj, v mojej objednávke 59643 chýba jeden produkt. Mal by som dostať 2 BCAA ale prišlo len jedno balenie. Prosím o riešenie.",Return / Complaint,human,0.87497157,59643,59643,,,0,,False,False
14,Kolagen na kĺby,"Dobrý večer, máte kolagén na kĺby? Pomôže to pri bolestiach kolien?",Product Question,bot,0.8861731,,,,,0,,False,False
15,Ako podať reklamáciu?,"Ahoj, ako mám postupovať pri reklamácii tovaru?",Order Status,human,0.8537506,,,,,0,,False,True
16,Zlá príchut proteínu,"Prosím vás, objednal som si čokoládový proteín ale prišiel mi vanilkový, obj. 81234. Môžete to vymeniť?",Return / Complaint,human,0.8742888,81234,81234,,,0,,False,False
17,Doručujete do Česka?,"Ahoj, doručujete objednávky aj do Českej republiky?",Store / Delivery / Availability,bot,0.8992235,,,,,0,,False,False
18,URGENTNÉ INFO,Objednávka č. 52648 potrebujem info urgentne!!!,Order Status,bot,0.85214734,52648,52648,,,2,"lots_of_caps,many_exclamations",False,False
19,Omyl v objednávke,"Objednávka 55298, chcem zrušiť. Objednal som zlý produkt.",Order Cancel,bot,0.8706111,55298,55298,,,0,,False,False
20,Kreatín monohydrát Creapure,"Dobrý deň, aký je rozdiel medzi 100% Kreatín monohydrát a Mikronizovaný kreatín Creapure? Ktorý je lepší?",Product Question,human,0.8643463,,,,,0,,False,True
21,Sponzoring fitness výstavy,"Dobrý deň, pripravujeme Fitness EXPO Košice 2026, najväčšiu fitness výstavu na východnom Slovensku. Očakávame 10000 návštevníkov. Ponúkame vám možnosť zlatého partnerstva za 5000 EUR. Záujem o stretnutie?",Cooperation / Partnership,human,0.84353113,2026,"2026,10000,5000",,,0,,False,True
22,Proteín bez umelých sladidiel,"Ahoj, máte nejaký proteín ktorý neobsahuje umelé sladidlá? Chcem niečo čo prírodné.",Product Question,bot,0.8895804,,,,,0,,False,False
